Customer_ID,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST-000001,1,12.97996083264189,117,4,1,1,2.0,Other
CUST-000002,3,446.43182902459824,111,4,5,5,4.666666666666667,Champions
CUST-000003,2,305.1153514056084,245,3,4,5,4.0,Potential Loyalists
CUST-000004,1,238.69778875971383,474,2,1,5,2.6666666666666665,At-Risk
CUST-000005,2,75.43498914021497,216,4,4,3,3.6666666666666665,Potential Loyalists
CUST-000006,2,23.205708518927295,235,3,4,2,3.0,Other
CUST-000007,2,38.07974435345544,188,4,4,2,3.3333333333333335,Other
CUST-000008,2,207.08708843442236,157,4,4,5,4.333333333333333,Champions
CUST-000010,4,528.5664348742182,512,2,5,5,4.0,Other
CUST-000011,1,38.93236519426154,185,4,1,2,2.3333333333333335,Other
CUST-000012,3,249.67572075333254,57,5,5,5,5.0,Champions
CUST-000013,1,32.15855334114375,280,3,1,2,2.0,Other
CUST-000014,2,48.069378009854255,140,4,4,3,3.6666666666666665,Potential Loyalists
CUST-000015,1,11.515400320583293,391,2,1,1,1.3333333333333333,At-Risk
CUST-000016,1,7.099933313875045,482,2,1,1,1.3333333333333333,At-Risk
CUST-000017,3,645.6856056376974,246,3,5,5,4.333333333333333,Potential Loyalists
CUST-000018,1,6.811933131992777,686,1,1,1,1.0,Lost
CUST-000019,3,206.60723992456116,212,4,5,5,4.666666666666667,Champions
CUST-000020,1,33.924860670117916,302,3,1,2,2.0,Other
CUST-000021,1,14.578193405516766,336,3,1,1,1.6666666666666667,Other
CUST-000022,2,101.1560465936455,25,5,4,4,4.333333333333333,Champions
CUST-000023,2,204.26568545749228,570,1,4,5,3.3333333333333335,Other
CUST-000024,1,445.89792791210215,251,3,1,5,3.0,Other
CUST-000025,2,266.8731926679808,116,4,4,5,4.333333333333333,Champions
CUST-000026,2,138.50317133354432,465,2,4,4,3.3333333333333335,Other
CUST-000027,1,20.018121322288053,511,2,1,2,1.6666666666666667,At-Risk
